epoch,step,train_loss,test_accuracy
1,0,3.5667600631713867,0
1,1,2.9558792114257812,0
1,2,2.7575302124023438,0
1,3,2.722677707672119,0
1,4,2.592284679412842,0
1,5,2.5839345455169678,0
1,6,2.5196971893310547,0
1,7,2.431565523147583,0
1,8,2.2979390621185303,0
1,9,2.3514912128448486,0
1,10,2.3414478302001953,0
1,11,2.20058274269104,0
1,12,2.343320369720459,0
1,13,2.2552294731140137,0
1,14,2.140286684036255,0
1,15,2.0762736797332764,0
1,16,2.156235933303833,0
1,17,2.0458900928497314,0
1,18,2.099130868911743,0
1,19,2.18212628364563,0
1,20,2.2457282543182373,0
1,21,2.013524055480957,0
1,22,2.1566684246063232,0
1,23,2.1137783527374268,0
1,24,2.0373640060424805,0
1,25,2.089005947113037,0
1,26,1.972283124923706,0
1,27,2.081232786178589,0
1,28,2.064467668533325,0
1,29,1.9932690858840942,0
1,30,1.9656195640563965,0
1,31,2.1043615341186523,0
1,32,2.132472515106201,0
1,33,1.998083233833313,0
1,34,1.963089942932129,0
1,35,1.8863693475723267,0
1,36,1.9185397624969482,0
1,37,2.081993341445923,0
1,38,1.8680415153503418,0
1,39,1.9818472862243652,0
1,40,1.866361379623413,0
1,41,1.7072346210479736,0
1,42,1.7984791994094849,0
1,43,1.9394422769546509,0
1,44,1.8444817066192627,0
1,45,1.907798409461975,0
1,46,1.8935283422470093,0
1,47,1.8920661211013794,0
1,48,1.827863335609436,0
1,49,1.9253320693969727,0
1,50,1.8292211294174194,0
1,51,1.8985536098480225,0
1,52,1.83589768409729,0
1,53,1.9076858758926392,0
1,54,1.8334102630615234,0
1,55,1.7365083694458008,0
1,56,1.7889240980148315,0
1,57,1.9700515270233154,0
1,58,1.845584511756897,0
1,59,1.8287720680236816,0
1,60,1.840319037437439,0
1,61,1.7997329235076904,0
1,62,1.8615226745605469,0
1,63,1.7916679382324219,0
1,64,1.7288196086883545,0
1,65,1.7648626565933228,0
1,66,1.828404426574707,0
1,67,1.883678913116455,0
1,68,1.7921106815338135,0
1,69,1.8018290996551514,0
1,70,1.8457446098327637,0
1,71,1.7569693326950073,0
1,72,1.8396668434143066,0
1,73,1.8271729946136475,0
1,74,1.7253546714782715,0
1,75,1.7641284465789795,0
1,76,1.823912501335144,0
1,77,1.9275285005569458,0
1,78,1.6655088663101196,0
1,79,1.794653058052063,0
1,80,1.9261126518249512,0
1,81,1.817244052886963,0
1,82,1.6625866889953613,0
1,83,1.6984031200408936,0
1,84,1.7475879192352295,0
1,85,1.6535707712173462,0
1,86,1.698893427848816,0
1,87,1.805030107498169,0
1,88,1.8108612298965454,0
1,89,1.8702824115753174,0
1,90,1.715456485748291,0
1,91,1.7637916803359985,0
1,92,1.6087284088134766,0
1,93,1.748989462852478,0
1,94,1.8192757368087769,0
1,95,1.7384666204452515,0
1,96,1.6909403800964355,0
1,97,1.7201862335205078,0
1,98,1.6104787588119507,0
1,99,1.7992973327636719,0
1,100,1.671882152557373,0
1,101,1.748077392578125,0
1,102,1.707466721534729,0
1,103,1.7903026342391968,0
1,104,1.8472931385040283,0
1,105,1.626118779182434,0
1,106,1.6455936431884766,0
1,107,1.8004196882247925,0
1,108,1.7553755044937134,0
1,109,1.615958571434021,0
1,110,1.4924163818359375,0
1,111,1.67865788936615,0
1,112,1.6277029514312744,0
1,113,1.6970174312591553,0
1,114,1.7887837886810303,0
1,115,1.5846154689788818,0
1,116,1.7433792352676392,0
1,117,1.6849154233932495,0
1,118,1.6021764278411865,0
1,119,1.6664907932281494,0
1,120,1.6357132196426392,0
1,121,1.4432203769683838,0
1,122,1.547366738319397,0
1,123,1.6631420850753784,0
1,124,1.715501070022583,0
1,125,1.587015151977539,0
1,126,1.7446391582489014,0
1,127,1.6509183645248413,0
1,128,1.6878535747528076,0
1,129,1.7457549571990967,0
1,130,1.7036471366882324,0
1,131,1.6710833311080933,0
1,132,1.7409330606460571,0
1,133,1.5176749229431152,0
1,134,1.6023904085159302,0
1,135,1.6513603925704956,0
1,136,1.604284405708313,0
1,137,1.5444024801254272,0
1,138,1.5634111166000366,0
1,139,1.6324981451034546,0
1,140,1.6780626773834229,0
1,141,1.558215856552124,0
1,142,1.665701150894165,0
1,143,1.5390342473983765,0
1,144,1.5728204250335693,0
1,145,1.5721811056137085,0
1,146,1.478226661682129,0
1,147,1.484339714050293,0
1,148,1.6807790994644165,0
1,149,1.51468026638031,0
1,150,1.5358089208602905,0
1,151,1.4229305982589722,0
1,152,1.4542906284332275,0
1,153,1.5268439054489136,0
1,154,1.6900101900100708,0
1,155,1.6757630109786987,0
1,156,1.6893861293792725,0
1,157,1.6549370288848877,0
1,158,1.5385388135910034,0
1,159,1.5320278406143188,0
1,160,1.6321653127670288,0
1,161,1.704392433166504,0
1,162,1.6090667247772217,0
1,163,1.5924016237258911,0
1,164,1.493739366531372,0
1,165,1.5810490846633911,0
1,166,1.5662086009979248,0
1,167,1.5170506238937378,0
1,168,1.5881378650665283,0
1,169,1.489296793937683,0
1,170,1.4694433212280273,0
1,171,1.5156549215316772,0
1,172,1.5759696960449219,0
1,173,1.6331509351730347,0
1,174,1.6260361671447754,0
1,175,1.589160680770874,0
1,176,1.5212379693984985,0
1,177,1.529188632965088,0
1,178,1.656835675239563,0
