epoch,step,train_loss,test_accuracy,train_accuracy
40,0,0.3635052740573883,0.8375999927520752,0
40,10,0.4343576431274414,0.8367999792098999,0
40,20,0.366213858127594,0.836899995803833,0
40,30,0.3875555992126465,0.8389999866485596,0
40,40,0.38211148977279663,0.8413999676704407,0
40,50,0.422648549079895,0.8435999751091003,0
40,60,0.33066099882125854,0.8463999629020691,0
40,70,0.24813127517700195,0.8448999524116516,0
40,80,0.45930781960487366,0.8472999930381775,0
40,90,0.36392268538475037,0.8481999635696411,0
40,100,0.3094968795776367,0.8501999974250793,0
40,110,0.41224756836891174,0.84579998254776,0
40,120,0.40341654419898987,0.8463999629020691,0
40,130,0.3455609381198883,0.8466999530792236,0
40,140,0.4784321188926697,0.8447999954223633,0
40,150,0.4779060482978821,0.8398000001907349,0
40,160,0.4037238359451294,0.8409000039100647,0
40,170,0.39942190051078796,0.8432999849319458,0
40,180,0.369123637676239,0.8427000045776367,0
40,190,0.40547993779182434,0.8434000015258789,0
41,0,0.32421666383743286,0.8460999727249146,0
41,10,0.3493790626525879,0.8417999744415283,0
41,20,0.4128990173339844,0.8422999978065491,0
41,30,0.38789308071136475,0.8450999855995178,0
41,40,0.4016560912132263,0.8452000021934509,0
41,50,0.37994328141212463,0.8400999903678894,0
41,60,0.3459680676460266,0.8411999940872192,0
41,70,0.4745281934738159,0.8395999670028687,0
41,80,0.4422074258327484,0.8447999954223633,0
41,90,0.38963502645492554,0.8463000059127808,0
41,100,0.349714070558548,0.8449999690055847,0
41,110,0.36136648058891296,0.8434000015258789,0
41,120,0.4197268486022949,0.8460999727249146,0
41,130,0.40555036067962646,0.8478999733924866,0
41,140,0.39070722460746765,0.8485999703407288,0
41,150,0.43935275077819824,0.848800003528595,0
41,160,0.42517101764678955,0.8425999879837036,0
41,170,0.33916622400283813,0.8447999954223633,0
41,180,0.37097153067588806,0.8461999893188477,0
41,190,0.3270334303379059,0.8513000011444092,0
42,0,0.4269249439239502,0.8455999493598938,0
42,10,0.3129841387271881,0.8481999635696411,0
42,20,0.34183114767074585,0.8497999906539917,0
42,30,0.5439891815185547,0.8434999585151672,0
42,40,0.3129398226737976,0.8443999886512756,0
42,50,0.3724255859851837,0.8463000059127808,0
42,60,0.41649168729782104,0.8460999727249146,0
42,70,0.3485961854457855,0.8456999659538269,0
42,80,0.39518067240715027,0.8452000021934509,0
42,90,0.30862879753112793,0.8471999764442444,0
42,100,0.4468126595020294,0.8495999574661255,0
42,110,0.4683671295642853,0.8435999751091003,0
42,120,0.386985182762146,0.8489999771118164,0
42,130,0.3520202934741974,0.8511999845504761,0
42,140,0.4207930862903595,0.848800003528595,0
42,150,0.34157270193099976,0.8422999978065491,0
42,160,0.30920571088790894,0.849299967288971,0
42,170,0.3137206435203552,0.849399983882904,0
42,180,0.41285327076911926,0.8484999537467957,0
42,190,0.34155768156051636,0.8519999980926514,0
43,0,0.3194599747657776,0.8467999696731567,0
43,10,0.4084146022796631,0.8479999899864197,0
43,20,0.3680382966995239,0.8471999764442444,0
43,30,0.38126859068870544,0.8483999967575073,0
43,40,0.3312259018421173,0.8473999500274658,0
43,50,0.3027186691761017,0.8491999506950378,0
43,60,0.3937392830848694,0.8474999666213989,0
43,70,0.33002814650535583,0.8520999550819397,0
43,80,0.41714951395988464,0.8474999666213989,0
43,90,0.30922847986221313,0.8463999629020691,0
43,100,0.31877556443214417,0.8466999530792236,0
43,110,0.318336546421051,0.8465999960899353,0
43,120,0.3483124375343323,0.8468999862670898,0
43,130,0.40355587005615234,0.8434000015258789,0
43,140,0.31152284145355225,0.8522999882698059,0
43,150,0.40912413597106934,0.8495000004768372,0
43,160,0.33452802896499634,0.851099967956543,0
43,170,0.3760959506034851,0.8504999876022339,0
43,180,0.4191366136074066,0.8504999876022339,0
43,190,0.4099399149417877,0.8511999845504761,0
44,0,0.3723001480102539,0.8388999700546265,0
44,10,0.3803859055042267,0.8496999740600586,0
44,20,0.38202226161956787,0.8497999906539917,0
44,30,0.31694266200065613,0.8522999882698059,0
44,40,0.36082810163497925,0.849299967288971,0
44,50,0.34855225682258606,0.8491999506950378,0
44,60,0.36920222640037537,0.8495999574661255,0
44,70,0.3850064277648926,0.851099967956543,0
44,80,0.3531306982040405,0.847599983215332,0
44,90,0.34088459610939026,0.8466999530792236,0
44,100,0.3170624375343323,0.843999981880188,0
44,110,0.3514823317527771,0.8456999659538269,0
44,120,0.3281880021095276,0.848800003528595,0
44,130,0.3336310088634491,0.8445000052452087,0
44,140,0.43461117148399353,0.8496999740600586,0
44,150,0.3858172595500946,0.8503999710083008,0
44,160,0.3053838908672333,0.8514999747276306,0
44,170,0.42493435740470886,0.8517000079154968,0
44,180,0.3083555996417999,0.8481999635696411,0
44,190,0.39905911684036255,0.8537999987602234,0
45,0,0.38012251257896423,0.849399983882904,0
45,10,0.3762288987636566,0.8453999757766724,0
