epoch,batch_idx,test_acc,unique_ap,mean_ap_sim@10,std_ap_sim@10,mean_ap_sim@100,std_ap_sim@100,mean_ap_sim@init,std_ap_sim@init,mean_ap_sim@final,std_ap_sim@final,mean_wc@10,std_wc@10,mean_wc@100,std_wc@100,mean_wc@init,std_wc@init,mean_wc@final,std_wc@final
1,0,0.10700000077486038,59084,0.0,0.0,0.0,0.0,0.9896247,0.012696528,0.6402296,0.07636932,0.0,nan,0.0,nan,0.00028466538060456514,6.606716488022357e-05,0.02565757930278778,0.02461102604866028
1,10,0.14020000398159027,59285,0.9329193,0.03673473,0.0,0.0,0.9261301,0.038795523,0.6434625,0.07691927,0.0013036173768341541,0.0007118243374861777,0.0,nan,0.0014583341544494033,0.0008182988967746496,0.025604762136936188,0.02453203871846199
1,20,0.17630000412464142,59111,0.94248235,0.034170616,0.0,0.0,0.8824957,0.054924317,0.65398794,0.07711171,0.0008918601670302451,0.0005805898108519614,0.0,nan,0.002129066502675414,0.001344508957117796,0.02547655813395977,0.024455910548567772
1,30,0.2134000062942505,58978,0.95932645,0.027469208,0.0,0.0,0.8566708,0.063107826,0.663826,0.07644512,0.0006778293172828853,0.0004833746643271297,0.0,nan,0.0025724866427481174,0.0017290122341364622,0.025317952036857605,0.024329910054802895
1,40,0.26260000467300415,58684,0.95920956,0.027324963,0.0,0.0,0.82954985,0.07205027,0.67493254,0.07434056,0.0006568993558175862,0.00046259246300905943,0.0,nan,0.0028946055099368095,0.002076613251119852,0.025167685002088547,0.02416672185063362
1,50,0.3052999973297119,58644,0.9691214,0.023636114,0.0,0.0,0.81496155,0.07442159,0.6849181,0.072413564,0.0005848629516549408,0.0004698846605606377,0.0,nan,0.003244594903662801,0.002370391506701708,0.025049297139048576,0.0240089800208807
1,60,0.35269999504089355,58573,0.97418255,0.022334721,0.0,0.0,0.80461365,0.07750019,0.6934029,0.07078836,0.0005643851472996175,0.0005230624228715897,0.0,nan,0.003527074819430709,0.0026494809426367283,0.02484411932528019,0.023864610120654106
1,70,0.40130001306533813,58473,0.9745728,0.021485563,0.0,0.0,0.801256,0.077850156,0.70128137,0.07094603,0.0006997517193667591,0.0005803784588351846,0.0,nan,0.0037841638550162315,0.002984520746394992,0.024576643481850624,0.023705458268523216
1,80,0.43939998745918274,58332,0.9735856,0.022456862,0.0,0.0,0.7890973,0.08198923,0.70864797,0.07009501,0.0006575996521860361,0.0005354647291824222,0.0,nan,0.004129444714635611,0.0033854490611702204,0.02436157688498497,0.02353510446846485
1,90,0.4767000079154968,58214,0.97418594,0.022183731,0.0,0.0,0.7764244,0.085400574,0.7183492,0.06765588,0.0006684844265691936,0.0006260286900214851,0.0,nan,0.004539506509900093,0.0038138441741466522,0.02412356436252594,0.02337615005671978
1,100,0.5216000080108643,58001,0.97039175,0.023352552,0.768099,0.08792016,0.76631075,0.08853916,0.7253889,0.06417974,0.0007250336930155754,0.0005974218947812915,0.004862883128225803,0.004090359900146723,0.00490360613912344,0.004131604917347431,0.023826293647289276,0.02323256991803646
1,110,0.5394999980926514,57766,0.9737636,0.022081818,0.7836717,0.080212384,0.75616443,0.09003737,0.73466367,0.060575288,0.0006765550933778286,0.0005793445161543787,0.0049020047299563885,0.004042256157845259,0.005294032860547304,0.004464427009224892,0.023570237681269646,0.023049816489219666
1,120,0.5981000065803528,57621,0.9675073,0.024673644,0.8049003,0.07563871,0.74362177,0.09124303,0.74464965,0.057664804,0.0006945417262613773,0.0005747778341174126,0.004790861159563065,0.004202867858111858,0.005620945245027542,0.004883358255028725,0.023322580382227898,0.02288578636944294
1,130,0.6365000009536743,57692,0.97345245,0.02176058,0.81273407,0.07491998,0.73532355,0.09131475,0.7564707,0.056438826,0.0006560556357726455,0.0005714051076211035,0.004851151257753372,0.004304071888327599,0.005968369077891111,0.005281386896967888,0.023098647594451904,0.022700833156704903
1,140,0.6571000218391418,57688,0.9779867,0.018661542,0.82598215,0.07157034,0.73560935,0.09013666,0.7652555,0.05473509,0.0006291859317570925,0.000632778974249959,0.0050298357382416725,0.004344823770225048,0.00631102966144681,0.005599020514637232,0.0228117685765028,0.022553207352757454
1,150,0.6913999915122986,57461,0.9799896,0.017845945,0.83123976,0.07091793,0.7304625,0.08989836,0.773136,0.05301618,0.0005808617570437491,0.0005374668398872018,0.005099872592836618,0.004350312519818544,0.006638519931584597,0.005909233819693327,0.022578872740268707,0.022416383028030396
1,160,0.7131999731063843,57225,0.9840593,0.015414606,0.83928263,0.06831008,0.72909874,0.08951961,0.7775575,0.051609833,0.0005760521162301302,0.0005086208111606538,0.0050820354372262955,0.004303176887333393,0.006960070692002773,0.00620619673281908,0.02232186682522297,0.022308308631181717
1,170,0.7268000245094299,57103,0.9869328,0.013836686,0.84893864,0.06667393,0.72852933,0.08909421,0.78113014,0.051037364,0.0005462574772536755,0.0004590708122123033,0.004904346540570259,0.004220684990286827,0.007235908880829811,0.006514765787869692,0.02210352197289467,0.022188562899827957
