epoch,batch_idx,test_acc,unique_ap,mean_ap_sim@10,std_ap_sim@10,mean_ap_sim@100,std_ap_sim@100,mean_ap_sim@init,std_ap_sim@init,mean_ap_sim@final,std_ap_sim@final,mean_wc@10,std_wc@10,mean_wc@100,std_wc@100,mean_wc@init,std_wc@init,mean_wc@final,std_wc@final
1,0,0.11999999731779099,60000,0.0,0.0,0.0,0.0,0.9968825,0.0008037452,0.8039023,0.013848216,0.0,nan,0.0,nan,0.00021528596698772162,0.00013504539674613625,0.024547792971134186,0.022106966003775597
1,10,0.2669000029563904,60000,0.98681724,0.0016759603,0.0,0.0,0.98457164,0.0018470741,0.8054676,0.013863287,0.0009419284178875387,0.0007390989339910448,0.0,nan,0.0010553108295425773,0.000824890797957778,0.024319492280483246,0.022028323262929916
1,20,0.38179999589920044,60000,0.9919743,0.0013431394,0.0,0.0,0.9782891,0.002178682,0.8055277,0.01405566,0.0006935198907740414,0.0005714850849471986,0.0,nan,0.0016224717255681753,0.001275128684937954,0.02413201332092285,0.021938422694802284
1,30,0.4715999960899353,60000,0.99433774,0.0010616002,0.0,0.0,0.97588915,0.0022925285,0.80549276,0.013700494,0.0006006428739055991,0.0005252077244222164,0.0,nan,0.002018280327320099,0.0016338436398655176,0.02396051585674286,0.021843234077095985
1,40,0.5782999992370605,60000,0.9933671,0.0011816967,0.0,0.0,0.97354615,0.0023677407,0.8060128,0.01359776,0.0005482780397869647,0.0005166823393665254,0.0,nan,0.002408945234492421,0.001984343631193042,0.023802610114216805,0.021747255697846413
1,50,0.635699987411499,60000,0.9944904,0.0010611209,0.0,0.0,0.972388,0.0024091564,0.8067472,0.013485566,0.0004981740494258702,0.0004961121012456715,0.0,nan,0.002745283767580986,0.0022945029195398092,0.023654647171497345,0.021647600457072258
1,60,0.6895999908447266,60000,0.9940431,0.0010989317,0.0,0.0,0.96950245,0.002496105,0.8077557,0.013591723,0.00044595886720344424,0.00046117184683680534,0.0,nan,0.0030653246212750673,0.002585887210443616,0.02352607436478138,0.02155257761478424
1,70,0.7196000218391418,60000,0.9944395,0.0010550648,0.0,0.0,0.9679504,0.0025796355,0.80845106,0.013657742,0.0004495355242397636,0.0004679220146499574,0.0,nan,0.0033362493850290775,0.002844390692189336,0.02340484969317913,0.021451842039823532
1,80,0.7764000296592712,60000,0.99432266,0.0010823056,0.0,0.0,0.96536034,0.0027155185,0.8093763,0.013711079,0.0004555888881441206,0.00048423116095364094,0.0,nan,0.0036242350470274687,0.003135876962915063,0.02327641472220421,0.02133914828300476
1,90,0.7907999753952026,60000,0.9953331,0.0010006006,0.0,0.0,0.9631468,0.0028183244,0.8103041,0.013828619,0.00043246359564363956,0.0004638459940906614,0.0,nan,0.0039056732784956694,0.003402868052944541,0.023152487352490425,0.021238388493657112
1,100,0.8100000023841858,60000,0.9947228,0.0011507592,0.9616638,0.0029370424,0.9608904,0.003015491,0.8115685,0.013521062,0.0004178272793069482,0.0004644716391339898,0.004109096713364124,0.0036119185388088226,0.004159137140959501,0.00364187965169549,0.023035533726215363,0.021135875955224037
1,110,0.8270000219345093,60000,0.9952349,0.0009881693,0.96155274,0.0029790266,0.95846015,0.0031212366,0.8120915,0.013597373,0.00041201573912985623,0.0004783926997333765,0.0038021907676011324,0.0035399971529841423,0.004394165240228176,0.003883552737534046,0.022922465577721596,0.021023986861109734
1,120,0.8324999809265137,60000,0.9954613,0.0010107935,0.9604698,0.0029001907,0.9562338,0.0029825678,0.81224275,0.013922975,0.00040110608097165823,0.0004589734016917646,0.0035648378543555737,0.003456567181274295,0.0046014077961444855,0.004108995199203491,0.022814087569713593,0.020920267328619957
1,130,0.8476999998092651,60000,0.99589,0.000967008,0.9607917,0.0029758534,0.9553308,0.0030826097,0.81305444,0.013819431,0.0003989080432802439,0.0004598333325702697,0.003363073104992509,0.0033484308514744043,0.004784546326845884,0.004307699389755726,0.022709207609295845,0.020815104246139526
1,140,0.8575999736785889,60000,0.9962855,0.00096640096,0.9629286,0.0028299359,0.95337564,0.0029894775,0.81359357,0.014215008,0.0003918776928912848,0.00044332569814287126,0.0031949607655406,0.0032642167061567307,0.004990909248590469,0.004502078518271446,0.022606581449508667,0.020720716565847397
1,150,0.8684999942779541,60000,0.99593127,0.0009980244,0.9651231,0.0027802265,0.95232505,0.0031650157,0.8145172,0.013956108,0.0003833089431282133,0.00044386397348716855,0.003054360393434763,0.0031998157501220703,0.005164491478353739,0.0046663410030305386,0.02251191809773445,0.020627550780773163
1,160,0.8707000017166138,60000,0.99702346,0.00076470233,0.967959,0.002667811,0.95110726,0.0032251044,0.81501484,0.014028097,0.0003499242593534291,0.0004091873997822404,0.00291873118840158,0.0031208042055368423,0.005320344585925341,0.0048419879749417305,0.022431427612900734,0.02054566517472267
1,170,0.8729000091552734,60000,0.9964903,0.0008227266,0.9702144,0.0026058038,0.9489605,0.0033669954,0.81569725,0.014069419,0.00035943693364970386,0.0004200135008431971,0.0027649877592921257,0.003006600309163332,0.005464083515107632,0.0049935211427509785,0.02234620787203312,0.020461564883589745
1,180,0.8806999921798706,60000,0.9951278,0.0010200186,0.971777,0.0024803171,0.947208,0.0032636947,0.81637496,0.013902181,0.0003769028699025512,0.0004390483954921365,0.0026085071731358767,0.002903682878240943,0.005595698487013578,0.0051496089436113834,0.02226131409406662,0.02036668173968792
